Maxscore: 320,20
1,25
2,25
3,25
4,25
5,5
6,25
7,31
8,39
9,55
10,55
11,55
12,46
13,40
14,40
15,24
16,40
17,40
18,40
19,40
20,40
21,20
22,43
23,32
24,46
25,40
26,40
27,20
28,40
29,-4
30,28
31,40
32,32
33,20
34,32
35,40
36,40
37,47
38,40
39,40
40,40
41,40
42,40
43,40
44,40
45,58
46,40
47,40
48,37
49,40
50,40
51,40
52,40
53,40
54,40
55,40
56,40
57,40
58,38
59,38
60,40
61,40
62,40
63,28
64,46
65,24
66,40
67,32
68,20
69,35
70,40
71,40
72,37
73,40
74,40
75,42
76,40
77,12
78,32
79,46
80,40
81,40
82,40
83,40
84,40
85,40
86,40
87,40
88,46
89,46
90,40
91,40
92,32
93,43
94,40
95,32
96,40
97,46
98,32
99,40
100,32
101,16
102,40
103,46
104,40
105,58
106,40
107,40
108,52
109,47
110,49
111,40
112,46
113,50
114,18
115,44
116,40
117,40
118,53
119,40
120,40
121,56
122,34
123,40
124,40
125,49
126,40
127,24
128,31
129,40
130,12
131,20
132,46
133,43
134,49
135,32
136,40
137,40
138,40
139,40
140,46
141,43
142,40
143,40
144,40
145,43
146,8
147,45
148,57
149,41
150,36
151,45
152,45
153,45
154,45
155,45
156,39
157,45
158,51
159,45
160,11
161,33
162,41
163,45
164,45
165,48
166,45
167,45
168,51
169,45
170,45
171,45
172,37
173,45
174,31
175,43
176,45
177,45
178,33
179,45
180,49
181,29
182,45
183,45
184,45
185,39
186,37
187,41
188,45
189,48
190,45
191,45
192,45
193,33
194,45
195,42
196,45
197,45
198,45
199,43
200,35
201,45
202,37
203,37
204,45
205,45
206,31
207,45
208,41
209,45
210,51
211,45
212,41
213,46
214,45
215,45
216,25
217,45
218,45
219,47
220,45
221,40
222,45
223,39
224,45
225,45
226,41
227,45
228,45
229,43
230,45
231,25
232,45
233,41
234,45
235,45
236,47
237,42
238,45
239,45
240,59
241,45
242,51
243,52
244,42
245,40
246,18
247,40
248,44
249,40
250,31
251,40
252,52
253,40
254,40
255,40
256,40
257,40
258,39
259,44
260,40
261,40
262,40
263,34
264,40
265,33
266,40
267,40
268,37
269,35
270,40
271,40
272,8
273,44
274,37
275,40
276,40
277,40
278,44
279,39
280,20
281,44
282,32
283,40
284,38
285,40
286,40
287,40
288,39
289,40
290,36
291,31
292,40
293,40
294,40
295,45
296,34
297,40
298,40
299,32
300,40
301,32
302,40
303,40
304,40
305,40
306,40
307,16
308,37
309,41
310,40
311,40
312,38
313,34
314,37
315,40
316,40
317,40
318,40
319,17
320,40
321,40
322,30
323,44
324,40
325,52
326,43
327,42
328,38
329,52
330,37
331,39
332,40
333,40
334,40
335,20
336,34
337,37
338,40
339,40
340,40
341,38
342,40
343,39
344,40
345,40
346,40
347,40
348,16
349,40
350,40
351,40
352,40
353,37
354,44
355,40
356,34
357,35
358,25
359,37
360,43
361,45
362,36
363,33
364,38
365,49
366,37
367,34
368,32
369,49
370,27
371,34
372,37
373,37
374,36
375,33
376,39
377,37
378,32
379,36
380,33
381,39
382,36
383,37
384,37
385,37
386,37
387,37
388,37
389,34
390,37
391,37
392,37
393,37
394,37
395,37
396,41
397,37
398,51
399,37
400,37
401,36
402,37
403,37
404,37
405,24
406,37
407,43
408,37
409,35
410,37
411,39
412,37
413,37
414,37
415,25
416,35
417,37
418,34
419,37
420,35
421,43
422,31
423,41
424,30
425,37
426,43
427,37
428,41
429,37
430,37
431,37
432,41
433,38
434,39
435,37
436,38
437,37
438,27
439,37
440,37
441,37
442,37
443,36
444,37
445,37
446,45
447,34
448,37
449,36
450,37
451,33
452,37
453,37
454,37
455,37
456,37
457,41
458,37
459,41
460,36
461,37
462,37
463,35
464,39
465,38
466,37
467,37
468,37
469,37
470,28
471,37
472,27
473,43
474,37
475,33
476,33
477,37
478,31
479,45
480,33
481,37
482,41
483,37
484,24
485,35
486,37
487,39
488,35
489,43
490,38
491,37
492,41
493,35
494,37
495,24
496,41
497,39
498,37
499,37
500,40
501,37
502,37
503,37
504,37
505,37
506,39
507,31
508,37
509,39
510,41
511,47
512,37
513,35
514,37
515,48
516,41
517,37
518,43
519,41
520,39
521,28
522,25
523,34
524,45
525,29
526,37
527,29
528,36
529,28
530,27
531,43
532,37
533,37
534,37
535,47
536,37
537,37
538,37
539,41
540,33
541,37
542,34
543,34
544,42
545,35
546,37
547,37
548,34
549,37
550,31
551,37
552,39
553,33
554,31
555,41
556,37
557,37
558,35
559,32
560,37
561,39
562,35
563,31
564,37
565,37
566,37
567,43
568,34
569,37
570,37
571,41
572,37
573,37
574,51
575,37
576,37
577,38
578,35
579,37
580,41
581,37
582,37
583,41
584,31
585,37
586,37
587,37
588,37
589,41
590,37
591,37
592,37
593,36
594,43
595,37
596,37
597,17
598,37
599,37
600,37
601,37
602,37
603,31
604,37
605,37
606,37
607,34
608,25
609,43
610,35
611,41
612,37
613,37
614,37
615,37
616,37
617,31
618,25
619,37
620,39
621,34
622,37
623,37
624,37
625,37
626,37
627,35
628,37
629,37
630,37
631,37
632,37
633,39
634,37
635,35
636,37
637,35
638,37
639,37
640,37
641,37
